"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L13","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.431694218111419,0.115954514669796,0.115954514669796,0.610716905756866,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.45,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.98,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.74,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.74,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L14","Interneurons 1_6","Interneurons 1_6_Brain",0.968355781474923,0.399191001977142,0.399191001977142,0.951922842065664,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0228","0228 Sst Gaba_15",1,"CS20230722_CLUS_0817","0817 Sst Gaba_15",528,1,"CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.46,"CS20230722_SUBC_032","032 L5 NP CTX Glut",0.9,"CS20230722_SUPT_0126","0126 L5 NP CTX Glut_5",0.95,"CS20230722_CLUS_0475","0475 L5 NP CTX Glut_5",83,0.95,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L15","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.901668605103104,0.522734913595866,0.522734913595866,0.854786846667663,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0075","0075 CA3 Glut_1",0.79,"CS20230722_CLUS_0296","0296 CA3 Glut_1",422,0.79,"CS20230722_CLAS_14","14 HY Glut",0.47,"CS20230722_SUBC_136","136 PMv-TMv Pitx2 Glut",0.53,"CS20230722_SUPT_0606","0606 PMv-TMv Pitx2 Glut_2",0.33,"CS20230722_CLUS_2465","2465 PMv-TMv Pitx2 Glut_2",2184,0.33,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L16","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.49524564997719,0.49524564997719,0.49524564997719,0.833041532140439,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_19","19 MB Glut",0.96,"CS20230722_SUBC_157","157 RN Spp1 Glut",0.73,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"CS20230722_CLAS_24","24 MY Glut",0.55,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.99,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.99,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L17","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.699447510223216,0.228882879850831,0.228882879850831,0.929884695584534,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.97,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L18","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.512024312848529,0.230324507675759,0.230324507675759,0.915846256177486,"Cortical projection neurons 1","Cortical projection neurons 1_13","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.61,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02 NP-CT-L6b Glut","023 SUB-ProS Glut","24 MY Glut","261 HB Calcb Chol","11","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L19","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.792719838106717,0.648555619889707,0.648555619889707,0.936107787968333,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",0.99,"CS20230722_SUPT_0079","0079 CA3 Glut_5",0.64,"CS20230722_CLUS_0316","0316 CA3 Glut_5",417,0.64,"CS20230722_CLAS_14","14 HY Glut",0.87,"CS20230722_SUBC_130","130 LHA Pmch Glut",0.94,"CS20230722_SUPT_0573","0573 LHA Pmch Glut_2",1,"CS20230722_CLUS_2324","2324 LHA Pmch Glut_2",2162,1,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L20","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.959006054388948,0.566070596324912,0.566070596324912,0.933726532199897,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.99,"CS20230722_SUBC_016","016 CA1-ProS Glut",0.99,"CS20230722_SUPT_0072","0072 CA1-ProS Glut_4",0.7,"CS20230722_CLUS_0286","0286 CA1-ProS Glut_4",354,0.7,"CS20230722_CLAS_24","24 MY Glut",0.73,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L21","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.564658935094818,0.189734694033213,0.189734694033213,0.982679774528584,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.99,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L23","Astrocytes_7","Astrocytes_7_Brain",0.883041264676326,0.446332134849698,0.446332134849698,0.880336733485538,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_24","24 MY Glut",0.59,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.49,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.91,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.91,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_L24","Oligodendrocyte progenitor cells_9","Oligodendrocyte progenitor cells_9_Brain",0.921187967776318,0.225372433737654,0.225372433737654,0.955079819649203,"Oligodendrocyte progenitor cells","Oligodendrocyte progenitor cells_9","Non-Neuronal","OPC","CS20230722_CLAS_31","31 OPC-Oligo",0.57,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",1,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,1,"CS20230722_CLAS_24","24 MY Glut",0.74,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.51,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.51,"31 OPC-Oligo","326 OPC NN","24 MY Glut","261 HB Calcb Chol","15","OPC"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M1","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.815223202394469,0.578846387256202,0.578846387256202,0.710920031779338,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.52,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0072","0072 CA1-ProS Glut_4",1,"CS20230722_CLUS_0286","0286 CA1-ProS Glut_4",354,1,"CS20230722_CLAS_22","22 MB-HB Sero",0.78,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0888","0888 MB-MY Tph2 Glut-Sero_1",0.6,"CS20230722_CLUS_3882","3882 MB-MY Tph2 Glut-Sero_1",2839,0.6,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","13","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M3","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.981899691862331,0.716368402658,0.716368402658,0.958575578616879,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0085","0085 L2/3 IT PPP Glut_2",0.99,"CS20230722_CLUS_0336","0336 L2/3 IT PPP Glut_2",313,0.99,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.53,"CS20230722_SUBC_082","082 CEA-BST Ebf1 Pdyn Gaba",0.81,"CS20230722_SUPT_0389","0389 CEA-BST Ebf1 Pdyn Gaba_6",0.99,"CS20230722_CLUS_1402","1402 CEA-BST Ebf1 Pdyn Gaba_6",1818,0.99,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M4","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.767765539089728,0.666222866662227,0.666222866662227,0.955733773362873,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",0.67,"CS20230722_SUPT_0079","0079 CA3 Glut_5",0.96,"CS20230722_CLUS_0316","0316 CA3 Glut_5",417,0.96,"CS20230722_CLAS_24","24 MY Glut",0.69,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M6","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.94083588512271,0.655201947121817,0.655201947121817,0.933729943285926,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0076","0076 CA3 Glut_2",1,"CS20230722_CLUS_0304","0304 CA3 Glut_2",426,1,"CS20230722_CLAS_14","14 HY Glut",0.88,"CS20230722_SUBC_128","128 VMH Fezf1 Glut",0.75,"CS20230722_SUPT_0565","0565 VMH Fezf1 Glut_3",0.49,"CS20230722_CLUS_2298","2298 VMH Fezf1 Glut_3",2088,0.49,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M7","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.984686580951708,0.867723973071317,0.867723973071317,0.968852918346823,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",0.76,"CS20230722_CLUS_0315","0315 CA3 Glut_4",421,0.76,"CS20230722_CLAS_19","19 MB Glut",0.53,"CS20230722_SUBC_162","162 CUN Evx2 Lhx2 Glut",0.64,"CS20230722_SUPT_0699","0699 CUN Evx2 Lhx2 Glut_3",1,"CS20230722_CLUS_2826","2826 CUN Evx2 Lhx2 Glut_3",4956,1,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M8","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.337126910071006,0.308555096027026,0.308555096027026,0.836181828015581,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",0.98,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",0.99,"CS20230722_CLUS_0315","0315 CA3 Glut_4",421,0.99,"CS20230722_CLAS_27","27 MY GABA",0.99,"CS20230722_SUBC_300","300 PARN-MDRNd-NTS Gbx2 Gly-Gaba",0.99,"CS20230722_SUPT_1122","1122 PARN-MDRNd-NTS Gbx2 Gly-Gaba_3",0.99,"CS20230722_CLUS_5043","5043 PARN-MDRNd-NTS Gbx2 Gly-Gaba_3",4440,0.99,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M9","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.29930786582245,0.252878320070895,0.252878320070895,0.81957702135603,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_04","04 DG-IMN Glut",1,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",1,"CS20230722_CLUS_0514","0514 DG-PIR Ex IMN_2",1406,1,"CS20230722_CLAS_23","23 P Glut",0.55,"CS20230722_SUBC_222","222 PB Evx2 Glut",1,"CS20230722_SUPT_0915","0915 PB Evx2 Glut_2",0.4,"CS20230722_CLUS_4029","4029 PB Evx2 Glut_2",2614,0.4,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M11","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.74239690470951,0.432972854521933,0.432972854521933,0.853739825668846,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0085","0085 L2/3 IT PPP Glut_2",0.97,"CS20230722_CLUS_0336","0336 L2/3 IT PPP Glut_2",313,0.97,"CS20230722_CLAS_19","19 MB Glut",0.72,"CS20230722_SUBC_157","157 RN Spp1 Glut",1,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M12","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",1,1,1,0.931939149589164,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_04","04 DG-IMN Glut",0.44,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",0.84,"CS20230722_CLUS_0514","0514 DG-PIR Ex IMN_2",1406,0.84,"CS20230722_CLAS_14","14 HY Glut",0.57,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.87,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",0.88,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,0.88,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M16","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",1,1,1,0.957356411053572,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0070","0070 CA1-ProS Glut_2",0.97,"CS20230722_CLUS_0273","0273 CA1-ProS Glut_2",352,0.97,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.67,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.67,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M17","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.59857887947011,0.471667570754697,0.471667570754697,0.672457422604941,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.62,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.53,"CS20230722_SUBC_073","073 MEA-BST Sox6 Gaba",0.71,"CS20230722_SUPT_0343","0343 MEA-BST Sox6 Gaba_7",1,"CS20230722_CLUS_1228","1228 MEA-BST Sox6 Gaba_7",1116,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M18","Cortical projection neurons 1_18","Cortical projection neurons 1_18_Brain",0.890191420338594,0.468820616456803,0.468820616456803,0.900169808862208,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0086","0086 L2/3 IT PPP Glut_3",1,"CS20230722_CLUS_0340","0340 L2/3 IT PPP Glut_3",305,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.62,"CS20230722_SUBC_090","090 BST-MPN Six3 Nrgn Gaba",0.34,"CS20230722_SUPT_0425","0425 BST-MPN Six3 Nrgn Gaba_6",0.69,"CS20230722_CLUS_1564","1564 BST-MPN Six3 Nrgn Gaba_6",1539,0.69,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M19","Interbrain and midbrain neurons 2_19","Interbrain and midbrain neurons 2_19_Brain",0.539781942666136,0.242108402506105,0.242108402506105,0.95780612388167,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_023","023 SUB-ProS Glut",1,"CS20230722_SUPT_0097","0097 SUB-ProS Glut_2",0.96,"CS20230722_CLUS_0390","0390 SUB-ProS Glut_2",336,0.96,"CS20230722_CLAS_24","24 MY Glut",0.29,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.91,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M20","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",1,0.984518152518401,0.984518152518401,0.954521255408082,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0069","0069 CA1-ProS Glut_1",1,"CS20230722_CLUS_0269","0269 CA1-ProS Glut_1",358,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.56,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.81,"CS20230722_SUPT_0397","0397 SI-MPO-LPO Lhx8 Gaba_2",1,"CS20230722_CLUS_1434","1434 SI-MPO-LPO Lhx8 Gaba_2",808,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M21","Oligodendrocyte progenitor cells_9","Oligodendrocyte progenitor cells_9_Brain",1,0.331563405403468,0.331563405403468,0.980157449379265,"Oligodendrocyte progenitor cells","Oligodendrocyte progenitor cells_9","Non-Neuronal","OPC","CS20230722_CLAS_31","31 OPC-Oligo",1,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",1,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,1,"CS20230722_CLAS_24","24 MY Glut",0.8,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.67,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.67,"31 OPC-Oligo","326 OPC NN","24 MY Glut","261 HB Calcb Chol","15","OPC"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M22","Astrocytes_14","Astrocytes_14_Brain",0.939917244168665,0.406647276486073,0.406647276486073,0.948815716609854,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",0.89,"CS20230722_SUBC_319","319 Astro-TE NN",0.97,"CS20230722_SUPT_1162","1162 Astro-TE NN_2",1,"CS20230722_CLUS_5222","5222 Astro-TE NN_2",14920,1,"CS20230722_CLAS_12","12 HY GABA",0.33,"CS20230722_SUBC_106","106 PVpo-VMPO-MPN Hmx2 Gaba",0.42,"CS20230722_SUPT_0483","0483 PVpo-VMPO-MPN Hmx2 Gaba_2",0.78,"CS20230722_CLUS_1896","1896 PVpo-VMPO-MPN Hmx2 Gaba_2",1872,0.78,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_M23","Astrocytes_7","Astrocytes_7_Brain",0.946951112858172,0.30203627563161,0.30203627563161,0.858632154427942,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_24","24 MY Glut",0.85,"CS20230722_SUBC_261","261 HB Calcb Chol",0.91,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.52,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.52,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.67,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.67,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_N1","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.977712544798346,0.626445148200221,0.626445148200221,0.970138510994391,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_025","025 CA2-FC-IG Glut",1,"CS20230722_SUPT_0101","0101 CA2-FC-IG Glut_2",1,"CS20230722_CLUS_0401","0401 CA2-FC-IG Glut_2",297,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-WT-M-H5-P2-C07_S31_N2","Interbrain and midbrain neurons 2_18","Interbrain and midbrain neurons 2_18_Brain",0.881792697097148,0.45875913977621,0.45875913977621,0.989741938099118,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_08","08 CNU-MGE GABA",0.99,"CS20230722_SUBC_058","058 PAL-STR Gaba-Chol",1,"CS20230722_SUPT_0260","0260 PAL-STR Gaba-Chol_2",1,"CS20230722_CLUS_0933","0933 PAL-STR Gaba-Chol_2",586,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1028","1028 HB Calcb Chol_4",0.58,"CS20230722_CLUS_4604","4604 HB Calcb Chol_4",8957,0.58,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
